zoned_school,current_placement,current_school,school_level,asian,black,hispanic,indian,multi,white,grand_total,file
Blank/Bad Addr,Charter,ADVANTAGE ACADEMY OF HILLSBOROUGH,K-8,NA,NA,10,NA,1,5,16,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,BRIDGEPREP ACADEMY OF RIVERVIEW,K-8,NA,2,2,NA,NA,NA,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,BRIDGEPREP ACADEMY OF TAMPA,K-8,NA,3,4,NA,NA,NA,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,NA,1,1,NA,1,5,8,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,CREEKSIDE CHARTER ACADEMY,K-8,NA,1,2,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,DR KIRAN C PATEL ELEMENTARY,Elem,3,8,3,NA,1,10,25,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,EXCELSIOR PREP CHARTER SCHOOL,Elem,NA,2,2,NA,NA,NA,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HENDERSON HAMMOCK CHARTER SCH,K-8,1,NA,3,NA,1,1,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HILLSBOROUGH ACAD MATH SCIENCE,K-8,2,2,3,NA,1,3,11,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,HORIZON CHARTER SCH OF TAMPA,K-8,NA,NA,4,NA,NA,1,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,INDEPENDENCE ACADEMY,K-8,NA,NA,1,NA,NA,16,17,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,KIDS COMMU COLLEGE SOUTHEAST,K-8,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LEARNING GATE COMMUNITY,K-8,4,2,40,NA,26,115,187,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LITERACY LEADERSHIP TECH SOUTH BAY,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,LUTZ PREPARATORY SCHOOL,K-8,8,10,32,NA,13,67,130,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,NAVIGATOR ACADEMY OF LEADERSHI,K-8,NA,1,1,NA,3,4,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,NEW SPRINGS SCHOOL,K-8,NA,4,NA,NA,NA,3,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,PLATO ACADEMY TAMPA CHARTER SCH,K-8,2,1,2,NA,2,15,22,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,RCMA WIMAUMA COMMUNITY ACADEMY,K-8,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SLAM ACADEMY AT APOLLO BEACH,K-8,NA,1,NA,NA,1,4,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SLAM ACADEMY TAMPA ELEMENTARY,Elem,NA,2,9,NA,2,1,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,SUNLAKE ACAD OF MATH & SCIENCE,K-8,29,19,80,1,14,97,240,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,TRINITY SCHOOL FOR CHILDREN,K-8,NA,3,10,NA,NA,2,15,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,VALRICO LAKE ADVANTAGE ACAD,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,VICTORY CHARTER SCHOOL TAMPA,Elem,3,3,3,1,1,4,15,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WALTON ACADEMY,Elem,NA,3,NA,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WATERSET CHARTER SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WINTHROP CHARTER SCHOOL,K-8,NA,1,NA,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Charter,WOODMONT CHARTER SCHOOL,K-8,NA,1,2,NA,NA,2,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ALEXANDER ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BAILEY ELEMENTARY,Elem,NA,NA,3,NA,NA,4,7,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BAY CREST ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BELLAMY ELEMENTARY,Elem,NA,NA,3,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BEVIS ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BROOKER ELEMENTARY,Elem,NA,NA,1,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BRYAN PLANT CITY ELEMENTARY,Elem,NA,NA,6,NA,2,1,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BRYANT ELEMENTARY,Elem,NA,NA,NA,NA,1,9,10,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,BURNEY ELEMENTARY,Elem,NA,NA,NA,NA,NA,4,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CANNELLA ELEMENTARY,Elem,NA,NA,1,NA,1,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CARROLLWOOD K-8 SCHOOL,K-8,NA,1,2,NA,NA,5,8,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CHIARAMONTE ELEMENTARY,Elem,NA,1,2,NA,NA,2,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CHILES ELEMENTARY,Elem,1,6,6,NA,NA,11,24,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CITRUS PARK ELEMENTARY,Elem,NA,1,5,NA,1,7,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CLARK ELEMENTARY,Elem,7,7,1,NA,2,12,29,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CLAYWELL ELEMENTARY,Elem,NA,NA,6,NA,NA,3,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,COLLINS PK-8 SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CORK ELEMENTARY,Elem,NA,NA,2,NA,1,3,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,CRESTWOOD ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DAVIS ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DEER PARK ELEMENTARY,Elem,NA,NA,3,NA,1,1,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DESOTO ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,DOVER ELEMENTARY,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,EDISON ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,EGYPT LAKE ELEMENTARY,Elem,NA,NA,1,NA,1,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ESSRIG ELEMENTARY,Elem,NA,NA,2,NA,NA,1,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,FOLSOM ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,GRADY ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,HAMMOND ELEMENTARY,Elem,1,NA,5,NA,NA,6,12,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,HERITAGE ELEMENTARY,Elem,1,1,NA,NA,3,12,17,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,HUNTER'S GREEN ELEMENTARY,Elem,NA,8,12,NA,2,7,29,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,KINGSWOOD ELEMENTARY,Elem,NA,NA,NA,NA,1,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LAKE MAGDALENE ELEMENTARY,Elem,NA,NA,5,NA,NA,3,8,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LANIER ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LEWIS ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LOPEZ ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LOWRY ELEMENTARY,Elem,NA,NA,4,NA,1,5,10,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,LUTZ K-8 SCHOOL,K-8,NA,1,5,NA,1,20,27,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,MABRY ELEMENTARY,Elem,NA,NA,1,NA,NA,4,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,MANISCALCO K-8 SCHOOL,K-8,NA,3,1,NA,NA,9,13,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,MCKITRICK ELEMENTARY,Elem,2,5,4,NA,5,22,38,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,MENDENHALL ELEMENTARY,Elem,NA,NA,NA,NA,1,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,MORT ELEMENTARY,Elem,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,NORTHWEST ELEMENTARY,Elem,NA,NA,2,NA,NA,4,6,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,PINECREST ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,PIZZO K-8 SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,PRIDE ELEMENTARY,Elem,2,3,1,NA,NA,15,21,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,RIVERVIEW ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ROBINSON ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,ROOSEVELT ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,SCHMIDT ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,SCHWARZKOPF ELEMENTARY,Elem,NA,1,5,NA,NA,15,21,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,SEMINOLE HEIGHTS ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,SPRINGHEAD ELEMENTARY,Elem,NA,NA,4,NA,NA,5,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,STOWERS ELEMENTARY,Elem,NA,NA,NA,NA,3,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,SUMMERFIELD ELEMENTARY,Elem,NA,NA,1,NA,NA,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,TAMPA PALMS ELEMENTARY,Elem,NA,1,NA,NA,1,9,11,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,TEMPLE TERRACE ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,THONOTOSASSA ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,TINKER K-8 SCHOOL,K-8,NA,NA,NA,NA,1,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,TOWN AND COUNTRY ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,TURNER BARTELS K-8,K-8,1,13,8,NA,4,13,39,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,VALRICO ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,WEST SHORE ELEMENTARY,Elem,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,WEST TAMPA ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,WESTCHASE ELEMENTARY,Elem,NA,NA,4,NA,3,3,10,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,WILSON ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Choice,WOODBRIDGE ELEMENTARY,Elem,NA,NA,3,1,NA,NA,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,ESE Center,LAKE MAGDALENE ELEMENTARY,Elem,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,ESE Placed,BRYANT ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,DUNBAR ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,ESSRIG ELEMENTARY,Elem,NA,2,NA,NA,NA,1,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,LINCOLN ELEMENTARY MAGNET,Elem,NA,4,4,NA,1,5,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,LOCKHART ELEMENTARY MAGNET,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,LOMAX ELEMENTARY MAGNET,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,MACFARLANE PARK ELEM MAGNET,Elem,NA,NA,2,NA,1,1,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,MULLER ELEMENTARY MAGNET,Elem,NA,NA,2,NA,NA,1,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,RAMPELLO K-8,K-8,NA,1,2,NA,2,NA,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,RIVERHILLS ELEMENTARY MAGNET,Elem,NA,4,NA,NA,1,NA,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,ROLAND PARK K-8 MAGNET,K-8,NA,NA,2,NA,NA,10,12,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,SHORE ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,TAMPA HEIGHTS ELEM MAGNET,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,WILSON ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Magnet,YORK PK-8 MAGNET SCHOOL,K-8,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,APOLLO BEACH ELEMENTARY,Elem,NA,NA,1,NA,NA,8,9,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,BAILEY ELEMENTARY,Elem,NA,NA,3,NA,1,1,5,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,BELMONT ELEMENTARY SCHOOL,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,BRYAN PLANT CITY ELEMENTARY,Elem,NA,1,2,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,CLAIR MEL ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,CLARK ELEMENTARY,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,CLAYWELL ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,COLSON ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,CORK ELEMENTARY,Elem,NA,NA,1,NA,NA,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,CRESTWOOD ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,DAVIS ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,DEER PARK ELEMENTARY,Elem,NA,NA,1,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,DUNBAR ELEMENTARY,Elem,NA,1,NA,NA,2,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,ESSRIG ELEMENTARY,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,FOLSOM ELEMENTARY,Elem,NA,NA,2,NA,NA,1,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,FOSTER ELEMENTARY,Elem,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,FROST ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,GIBSONTON ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,GRADY ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,HAMMOND ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,HERITAGE ELEMENTARY,Elem,NA,1,NA,NA,NA,3,4,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,HUNTER'S GREEN ELEMENTARY,Elem,NA,NA,1,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,KINGSWOOD ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,KNIGHTS ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LAKE MAGDALENE ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LAMB ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LANIER ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LINCOLN ELEMENTARY MAGNET,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LOMAX ELEMENTARY MAGNET,Elem,NA,2,NA,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LOWRY ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,LUTZ K-8 SCHOOL,K-8,1,NA,NA,NA,NA,2,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,MANISCALCO K-8 SCHOOL,K-8,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,MCKITRICK ELEMENTARY,Elem,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,MILES ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,OAK GROVE ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,POTTER ELEMENTARY,Elem,NA,2,NA,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,PRIDE ELEMENTARY,Elem,NA,NA,NA,NA,NA,3,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,REDDICK ELEMENTARY,Elem,NA,NA,3,NA,NA,NA,3,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,SEMINOLE HEIGHTS ELEMENTARY,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,SPRINGHEAD ELEMENTARY,Elem,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,TAMPA HEIGHTS ELEM MAGNET,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,TAMPA PALMS ELEMENTARY,Elem,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,THOMPSON ELEMENTARY,Elem,NA,NA,1,NA,NA,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,TINKER K-8 SCHOOL,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,TURNER BARTELS K-8,K-8,NA,NA,6,NA,NA,8,14,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,WALDEN LAKE ELEMENTARY,Elem,NA,NA,1,NA,NA,1,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,WESTCHASE ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,WIMAUMA ELEMENTARY,Elem,NA,1,1,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Blank/Bad Addr,Neighborhood,WITTER ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,CHANNELSIDE ACAD MATH AND SCI,K-8,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,CREEKSIDE CHARTER ACADEMY,K-8,NA,NA,NA,NA,1,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,LEARNING GATE COMMUNITY,K-8,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,LITERACY LEADERSHIP TECH ACAD,K-8,NA,NA,2,NA,NA,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,NAVIGATOR ACADEMY OF LEADERSHI,K-8,NA,6,8,NA,2,10,26,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,VALRICO LAKE ADVANTAGE ACAD,Elem,NA,NA,NA,NA,NA,6,6,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Charter,WINTHROP CHARTER SCHOOL,K-8,NA,NA,NA,NA,1,1,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,ALAFIA ELEMENTARY,Elem,NA,NA,5,NA,2,5,12,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,BOYETTE SPRINGS ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,BUCKHORN ELEMENTARY,Elem,NA,NA,NA,NA,NA,4,4,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,CIMINO ELEMENTARY,Elem,NA,NA,3,NA,1,12,16,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,COLLINS PK-8 SCHOOL,K-8,NA,NA,1,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,LITHIA SPRINGS ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,SEFFNER ELEMENTARY,Elem,NA,NA,NA,NA,1,1,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,STOWERS ELEMENTARY,Elem,NA,NA,NA,NA,2,NA,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,SYMMES ELEMENTARY,Elem,NA,NA,NA,NA,NA,1,1,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Choice,VALRICO ELEMENTARY,Elem,NA,NA,NA,NA,NA,2,2,tabula-ElemK8OutReport40thDay2324.csv
Alafia,Magnet,RIVERHILLS ELEMENTARY MAGNET,Elem,NA,1,NA,NA,NA,NA,1,tabula-ElemK8OutReport40thDay2324.csv
