school_level,current_school,current_placement,zoned_school,asian,black,hispanic,indian,multi,white,grand_total,total_row
K-8,LEGACY PREPARATORY ACADEMY,Total,Total,0,135,54,0,12,9,210,TRUE
K-8,LITERACY LEADERSHIP TECH ACAD,Charter Total,Charter Total,6,108,309,0,93,270,786,TRUE
K-8,LITERACY LEADERSHIP TECH ACAD,Total,Total,6,108,309,0,93,270,786,TRUE
K-8,LITERACY LEADERSHIP TECH SOUTH BAY,Charter Total,Charter Total,24,303,447,0,111,474,1359,TRUE
K-8,LITERACY LEADERSHIP TECH SOUTH BAY,Total,Total,24,303,447,0,111,474,1359,TRUE
K-8,LUTZ K-8 SCHOOL,Choice Total,Choice Total,0,18,87,0,9,144,258,TRUE
K-8,LUTZ K-8 SCHOOL,"ESE PlacedTotal","ESE PlacedTotal",0,0,3,0,0,0,3,TRUE
K-8,LUTZ K-8 SCHOOL,"NeighborhoodTotal","NeighborhoodTotal",24,57,417,0,60,801,1359,TRUE
K-8,LUTZ K-8 SCHOOL,Total,Total,24,75,507,0,69,945,1620,TRUE
K-8,LUTZ PREPARATORY SCHOOL,Charter Total,Charter Total,147,69,276,3,135,933,1563,TRUE
K-8,LUTZ PREPARATORY SCHOOL,Total,Total,147,69,276,3,135,933,1563,TRUE
K-8,MANISCALCO K-8 SCHOOL,Choice Total,Choice Total,9,36,105,0,3,99,252,TRUE
K-8,MANISCALCO K-8 SCHOOL,"NeighborhoodTotal","NeighborhoodTotal",30,117,492,0,84,480,1203,TRUE
K-8,MANISCALCO K-8 SCHOOL,Total,Total,39,153,597,0,87,579,1455,TRUE
K-8,NAVIGATOR ACADEMY OF LEADERSHI,Charter Total,Charter Total,156,318,738,15,120,663,2010,TRUE
K-8,NAVIGATOR ACADEMY OF LEADERSHI,Total,Total,156,318,738,15,120,663,2010,TRUE
K-8,NEW SPRINGS SCHOOL,Charter Total,Charter Total,15,282,267,0,27,126,717,TRUE
K-8,NEW SPRINGS SCHOOL,Total,Total,15,282,267,0,27,126,717,TRUE
K-8,PIZZO K-8 SCHOOL,Choice Total,Choice Total,0,54,51,0,9,6,120,TRUE
K-8,PIZZO K-8 SCHOOL,"ESE PlacedTotal","ESE PlacedTotal",0,0,0,0,0,3,3,TRUE
K-8,PIZZO K-8 SCHOOL,"NeighborhoodTotal","NeighborhoodTotal",51,855,972,0,120,153,2151,TRUE
K-8,PIZZO K-8 SCHOOL,Total,Total,51,909,1023,0,129,162,2274,TRUE
K-8,PLATO ACADEMY TAMPA CHARTER SCH,Charter Total,Charter Total,84,54,300,0,90,378,906,TRUE
K-8,PLATO ACADEMY TAMPA CHARTER SCH,Total,Total,84,54,300,0,90,378,906,TRUE
K-8,RAMPELLO K-8,Magnet Total,Magnet Total,12,384,330,3,123,555,1407,TRUE
K-8,RAMPELLO K-8,"NeighborhoodTotal","NeighborhoodTotal",6,6,6,0,3,12,33,TRUE
K-8,RAMPELLO K-8,Total,Total,18,390,336,3,126,567,1440,TRUE
K-8,RCMA WIMAUMA COMMUNITY ACADEMY,Charter Total,Charter Total,0,0,717,0,0,0,717,TRUE
K-8,RCMA WIMAUMA COMMUNITY ACADEMY,Total,Total,0,0,717,0,0,0,717,TRUE
K-8,RIVERVIEW ACADEMY OF MATH SCI,Total,Total,159,537,705,15,96,486,1998,TRUE
K-8,ROLAND PARK K-8 MAGNET,Magnet Total,Magnet Total,102,252,357,9,234,630,1584,TRUE
K-8,ROLAND PARK K-8 MAGNET,"NeighborhoodTotal","NeighborhoodTotal",6,0,3,0,3,9,21,TRUE
K-8,SOUTHSHORE CHARTER ACADEMY,Charter Total,Charter Total,60,663,846,6,189,486,2250,TRUE
K-8,SOUTHSHORE CHARTER ACADEMY,Total,Total,60,663,846,6,189,486,2250,TRUE
K-8,SULPHUR SPRINGS K-8,Choice Total,Choice Total,0,21,9,0,0,6,36,TRUE
K-8,SULPHUR SPRINGS K-8,"NeighborhoodTotal","NeighborhoodTotal",6,903,342,0,51,69,1371,TRUE
K-8,SULPHUR SPRINGS K-8,Total,Total,6,924,351,0,51,75,1407,TRUE
K-8,SUNLAKE ACAD OF MATH & SCIENCE,Charter Total,Charter Total,252,120,726,12,72,819,2001,TRUE
K-8,SUNLAKE ACAD OF MATH & SCIENCE,Total,Total,252,120,726,12,72,819,2001,TRUE
K-8,TINKER K-8 SCHOOL,Choice Total,Choice Total,0,0,0,0,6,12,18,TRUE
K-8,TINKER K-8 SCHOOL,"NeighborhoodTotal","NeighborhoodTotal",27,108,240,3,186,723,1287,TRUE
K-8,TINKER K-8 SCHOOL,Total,Total,27,108,240,3,192,735,1305,TRUE
K-8,TRINITY SCHOOL FOR CHILDREN,Charter Total,Charter Total,30,93,771,3,108,786,1791,TRUE
K-8,TRINITY SCHOOL FOR CHILDREN,Total,Total,30,93,771,3,108,786,1791,TRUE
K-8,TURNER BARTELS K-8,Choice Total,Choice Total,6,123,66,0,33,69,297,TRUE
K-8,TURNER BARTELS K-8,Magnet Total,Magnet Total,0,0,0,0,0,3,3,TRUE
K-8,TURNER BARTELS K-8,"NeighborhoodTotal","NeighborhoodTotal",351,417,408,9,225,729,2139,TRUE
K-8,TURNER BARTELS K-8,Total,Total,357,540,474,9,258,801,2439,TRUE
K-8,WATERSET CHARTER SCHOOL,Charter Total,Charter Total,54,480,735,0,219,840,2328,TRUE
K-8,WATERSET CHARTER SCHOOL,Total,Total,54,480,735,0,219,840,2328,TRUE
K-8,WINTHROP CHARTER SCHOOL,Total,Total,276,549,822,15,255,753,2670,TRUE
K-8,WOODMONT CHARTER SCHOOL,Charter Total,Charter Total,15,894,273,0,84,60,1326,TRUE
