School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,ADVANTAGE ACADEMY OF HILLSBOROUGH,Charter,Blank/Bad Addr,,,10,,1,5,16
"",,,Bailey,1,,1,,,,2
"",,,Bryan,1,1,32,,1,8,43
"",,,Burney,,10,29,1,3,5,48
"",,,Colson,,,,,,1,1
"",,,Cork,,,5,,1,5,11
"",,,Dover,,,8,,,1,9
"",,,Jackson,,5,53,,3,5,66
"",,,Kenly,,,1,,,,1
"",,,Knights,,,14,,,4,18
"",,,Pinecrest,,,,,,4,4
"",,,Robinson,,,10,,,3,13
"",,,Springhead,,,24,,,2,26
"",,,Summerfield Crossings,,1,,,,,1
"",,,Tampa Bay Boulevard,,,2,,,,2
"",,,Trapnell,,3,14,,,4,21
"",,,Walden Lake,,4,8,,1,1,14
"",,,Wilson,,,9,,,,9
"",,Charter Total,,2,24,220,1,10,48,305
"",ADVANTAGE ACADEMY OF HILLSBOROUGH Total,,,2,24,220,1,10,48,305
"",BIG BEND ACADEMY MATH & SCIENCE,Charter,Bevis,,,,,,1,1
"",,,Collins,,,,,1,,1
"",,,Corr,,1,2,,,,3
"",,,Cypress Creek,,,1,,,,1
"",,,Gibsonton,,,,,,1,1
"",,,Ippolito,,1,1,,,,2
"",,,Kingswood,,1,,,,,1
"",,,Riverview,,,1,,1,,2
"",,,Sessums,2,1,,,,4,7
"",,Charter Total,,2,4,5,,2,6,19
"",BIG BEND ACADEMY MATH & SCIENCE Total,,,2,4,5,,2,6,19
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Anderson,,,,,1,1,2
"",,,Bailey,,,1,,1,,2
"",,,Belmont,,2,5,1,,,8
"",,,Bing,,6,30,,,6,42
"",,,Boyette Springs,,7,,,,1,8
"",,,Brooker,,3,3,,,,6
"",,,Broward,,,,,1,,1
"",,,Buckhorn,,,3,,,,3
"",,,Cimino,,1,,,1,,2
"",,,Clair Mel,,5,24,,2,4,35
"",,,Collins,,5,2,,,1,8
"",,,Colson,,,1,,1,1,3
"",,,Corr,,7,7,,4,2,20
"",,,Crestwood,,,1,,,1,2
"",,,Cypress Creek,,13,1,,,1,15
"",,,Dawson,,4,,,1,1,6
"",,,DeSoto,,,,,,1,1
"",,,Doby,,4,1,,,,5
"",,,Folsom,,2,2,,1,,5
"",,,Foster,,1,,,,,1
"",,,Frost,1,33,28,,10,7,79
"",,,Gibsonton,,2,2,,1,,5
"",,,Graham,,1,1,,,,2
"",,,Ippolito,4,51,85,1,15,8,164
"",,,James,,2,,,,,2
"",,,Kenly,,2,4,,1,2,9
"",,,Kingswood,,7,11,,2,,20
"",,,Lamb,,38,31,,8,7,84
"",,,Limona,,3,3,,,1,7
"",,,Mango,,2,4,,,,6
"",,,McDonald,,1,4,,,3,8
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF RIVERVIEW,Charter,Mintz,,5,11,,5,4,25
"",,,Nelson,,4,4,,,1,9
"",,,Oak Park,,2,,,,,2
"",,,Palm River,,4,15,1,1,,21
"",,,Pinecrest,,,,,,1,1
"",,,Pride,,1,,,,,1
"",,,Reddick,,3,,,2,2,7
"",,,Riverview,,6,14,,2,5,27
"",,,Robles,,7,1,,2,,10
"",,,Ruskin,,3,4,,1,,8
"",,,Schmidt,,4,9,,,1,14
"",,,Seffner,,,1,,,,1
"",,,Sessums,,9,7,,,4,20
"",,,Sheehy,,1,,,,,1
"",,,Summerfield,,,1,,,1,2
"",,,Summerfield Crossings,,10,6,,1,3,20
"",,,Symmes,,8,13,,1,,22
"",,,Temple Terrace,,,,,1,,1
"",,,Thompson,,2,,,,1,3
"",,,Thonotosassa,,2,,,,,2
"",,,Valrico,,,4,,,,4
"",,,West Tampa,,,2,,,,2
"",,,Witter,,,,,1,,1
"",,,Yates,,9,10,,4,7,30
"",,Charter Total,,5,284,359,3,71,78,800
"",BRIDGEPREP ACADEMY OF RIVERVIEW Total,,,5,284,359,3,71,78,800
"",BRIDGEPREP ACADEMY OF TAMPA,Charter,Blank/Bad Addr,,3,4,,,,7
"",,,Alexander,,,,,,1,1
"",,,Anderson,,,2,,,2,4
"",,,Ballast Point,,,,,,1,1
"",,,Bay Crest,,1,1,,,,2
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF TAMPA,Charter,Cannella,,,2,,,,2
"",,,Chiaramonte,,,2,,,,2
"",,,Cleveland,,,,,1,,1
"",,,Collins,,,,,,1,1
"",,,Colson,,,1,,,,1
"",,,Crestwood,,,2,,,,2
"",,,Cypress Creek,,,,,,2,2
"",,,Davis,,,2,,,,2
"",,,DeSoto,,1,,,1,,2
"",,,Dickenson,,,3,,,1,4
"",,,Edison,,,2,,,1,3
"",,,Forest Hills,,,,,,1,1
"",,,Foster,,2,2,,,1,5
"",,,Frost,,3,2,,,,5
"",,,Grady,,1,,,,,1
"",,,Graham,,6,2,,1,,9
"",,,James,,3,2,,,,5
"",,,Kenly,,,6,,,,6
"",,,Kimbell,,,6,,,,6
"",,,Knights,,1,,,,,1
"",,,Lamb,,3,1,,,,4
"",,,Lanier,,1,2,,1,1,5
"",,,Lewis,,,,,,3,3
"",,,Mango,,1,1,,,,2
"",,,McDonald,,1,,,,,1
"",,,Mendenhall,,1,5,,,,6
"",,,Miles,,,,,,1,1
"",,,Mitchell,,,1,,2,,3
"",,,Oak Grove,,,3,,,1,4
"",,,Oak Park,,1,1,,,,2
"",,,Pizzo,,,3,,,,3
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,BRIDGEPREP ACADEMY OF TAMPA,Charter,Robles,,,2,,,,2
"",,,Schmidt,,,1,,1,2,4
"",,,Sessums,,,,,,1,1
"",,,Shaw,,1,2,,,,3
"",,,Sulphur Springs,,4,3,,,,7
"",,,Tampa Bay Boulevard,,6,16,,2,4,28
"",,,Tampa Palms,,1,,,,,1
"",,,Temple Terrace,,1,,,,,1
"",,,Thompson,,,3,,,,3
"",,,Town and Country,,,1,,,,1
"",,,Twin Lakes,,,2,,,,2
"",,,Washington,,5,1,,1,,7
"",,,West Shore,,3,5,,1,4,13
"",,,West Tampa,,2,5,,,1,8
"",,,Westchase,,1,,,,,1
"",,,Witter,,,2,,,,2
"",,,Woodson,,,2,,,,2
"",,,Yates,,4,,,,,4
"",,Charter Total,,,59,109,,12,29,209
"",BRIDGEPREP ACADEMY OF TAMPA Total,,,,59,109,,12,29,209
"",CARROLLWOOD K-8 SCHOOL,Choice,Blank/Bad Addr,,1,2,,,5,8
"",,,Bellamy,,,1,,,,1
"",,,Broward,,,,,,1,1
"",,,Cannella,,,2,,1,2,5
"",,,Carrollwood,1,1,6,,1,6,15
"",,,Chiles,,,,,,1,1
"",,,Citrus Park,,,1,,,,1
"",,,Claywell,,,1,,3,4,8
"",,,Cleveland,,,1,,,,1
"",,,Crestwood,,3,4,,2,2,11
"",,,Egypt Lake,,,,,1,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CARROLLWOOD K-8 SCHOOL,Choice,Forest Hills,,4,2,,3,9,18
"",,,Foster,,,1,,,,1
"",,,Kimbell,,,1,,1,,2
"",,,Lake Magdalene,1,2,13,,1,23,40
"",,,Maniscalco,,,2,,1,2,5
"",,,Mendenhall,1,,1,,,1,3
"",,,Miles,2,,5,,1,2,10
"",,,Morgan Woods,,,1,,3,,4
"",,,Mort,,2,1,,1,1,5
"",,,Northwest,3,,,,,3,6
"",,,Oak Grove,,,1,,1,1,3
"",,,Pizzo,,,2,,,1,3
"",,,Schwarzkopf,,,,,1,1,2
"",,,Seminole,,,1,,,,1
"",,,Shaw,,,1,,,,1
"",,,Sulphur Springs,,,3,,,,3
"",,,Town and Country,,,,,,1,1
"",,,Twin Lakes,,1,1,,1,2,5
"",,,Walden Lake,,,1,,,,1
"",,,West Shore,,,1,,,,1
"",,,Woodbridge,,,1,,,,1
"",,,Woodson,,,1,,1,3,5
"",,Choice Total,,8,15,63,,23,75,184
"",,Neighborhood,Bellamy,,,1,,,,1
"",,,Cannella,,1,2,,,1,4
"",,,Carrollwood,9,24,182,,22,192,429
"",,,Claywell,,,1,,,1,2
"",,,Egypt Lake,,3,,,,,3
"",,,Essrig,,2,,,,2,4
"",,,Forest Hills,,1,,,,,1
"",,,Lake Magdalene,,2,8,,2,3,15
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CARROLLWOOD K-8 SCHOOL,Neighborhood,Oak Park,,1,,,,,1
"",,,Pizzo,,,1,,,1,2
"",,,Tampa Palms,,,,,,2,2
"",,,Woodson,,,1,,,,1
"",,"NeighborhoodTotal",,9,34,196,,25,202,466
"",CARROLLWOOD K-8 SCHOOL Total,,,17,49,259,,48,277,650
"",CHANNELSIDE ACAD MATH AND SCI,Charter,Blank/Bad Addr,,1,1,,1,5,8
"",,,Alafia,,,1,,,,1
"",,,Anderson,,1,,,1,1,3
"",,,Apollo Beach,,1,,,,,1
"",,,Belmont,,1,,,,,1
"",,,Bing,,,1,,,,1
"",,,Brooker,,1,,,,,1
"",,,Broward,,2,,,,,2
"",,,Cannella,,,1,,,1,2
"",,,Chiaramonte,,,,,,2,2
"",,,Cimino,,,1,,,,1
"",,,Citrus Park,,1,,,1,,2
"",,,Clair Mel,,4,2,,1,,7
"",,,Cleveland,,1,1,,,1,3
"",,,Crestwood,,1,1,,,,2
"",,,Deer Park,,,,,,1,1
"",,,DeSoto,,3,2,,,1,6
"",,,Edison,,2,2,,,,4
"",,,Essrig,,,3,,,,3
"",,,Folsom,,,2,,,1,3
"",,,Forest Hills,,1,3,,,1,5
"",,,Foster,,2,1,,,3,6
"",,,Frost,,1,4,,,1,6
"",,,Gibsonton,,,,,,1,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CHANNELSIDE ACAD MATH AND SCI,Charter,Graham,,4,1,,,3,8
"",,,James,,6,1,,,,7
"",,,Kenly,,,7,,,,7
"",,,Kimbell,,1,,,1,,2
"",,,Kingswood,,2,2,,,,4
"",,,Lake Magdalene,,,1,,,,1
"",,,Lamb,1,,2,,1,4,8
"",,,Lanier,,,1,,,,1
"",,,Lewis,,,1,,,,1
"",,,Limona,,1,,,,1,2
"",,,Lowry,,3,,,,1,4
"",,,Mango,,,,,,1,1
"",,,McDonald,,,1,,,,1
"",,,Mendenhall,,1,2,,,,3
"",,,Miles,,,2,,,,2
"",,,Mintz,,1,,,,,1
"",,,Mitchell,,,2,,,,2
"",,,Mort,,1,,,,1,2
"",,,Oak Grove,,2,,,,,2
"",,,Oak Park,,6,1,,,1,8
"",,,Palm River,,3,3,,,1,7
"",,,Pizzo,,3,,,,,3
"",,,Potter,,8,2,,,,10
"",,,Riverview,,1,,,,,1
"",,,Robles,,7,3,,,,10
"",,,Schmidt,,,,,,1,1
"",,,Seminole,,1,1,,1,2,5
"",,,Sessums,,1,,,1,2,4
"",,,Sheehy,,1,,,,,1
"",,,Sulphur Springs,,3,1,,,,4
"",,,Summerfield Crossings,,,1,,,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CHANNELSIDE ACAD MATH AND SCI,Charter,Tampa Bay Boulevard,,6,2,,,,8
"",,,Temple Terrace,,,,,,1,1
"",,,Thompson,,1,,,,,1
"",,,Thonotosassa,,3,,,,,3
"",,,Turner/Bartels,,,1,,,,1
"",,,Twin Lakes,,,2,,,,2
"",,,Washington,,8,8,,,10,26
"",,,West Shore,,2,1,,,1,4
"",,,West Tampa,,,1,,,,1
"",,,Wilson,,1,,,,,1
"",,,Woodson,,1,1,,,,2
"",,,Yates,,,,,,1,1
"",,Charter Total,,1,102,79,,8,50,240
"",CHANNELSIDE ACAD MATH AND SCI Total,,,1,102,79,,8,50,240
"",COLLINS PK-8 SCHOOL,Choice,Blank/Bad Addr,,,,,,1,1
"",,,Alafia,,,1,,,,1
"",,,Belmont,,2,,,1,,3
"",,,Bevis,,,,,,1,1
"",,,Bing,,,1,,,,1
"",,,Boyette Springs,,,1,,,4,5
"",,,Brooker,,,,,,2,2
"",,,Collins,,2,1,,,5,8
"",,,Corr,,7,,,,1,8
"",,,Cypress Creek,,,1,,1,2,4
"",,,Dawson,,1,1,,,4,6
"",,,Doby,,1,1,,,1,3
"",,,Frost,,,,,,1,1
"",,,Gibsonton,,,,,,1,1
"",,,Ippolito,,,,,1,,1
"",,,Kingswood,,,,,,1,1
"",,,Lamb,,,,,,1,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,COLLINS PK-8 SCHOOL,Choice,Pinecrest,,,,,,1,1
"",,,Reddick,,,3,,,2,5
"",,,Riverview,,,1,,,,1
"",,,Robles,,1,,,,,1
"",,,Ruskin,,2,,,,4,6
"",,,Sessums,,3,2,,2,2,9
"",,,Summerfield,,3,4,,1,3,11
"",,,Summerfield Crossings,,3,4,,2,14,23
"",,,Symmes,,,,,,2,2
"",,,Wimauma,,,1,,,,1
"",,Choice Total,,,25,22,,8,55,110
"",,ESE Placed,Brooker,,1,,,,,1
"",,"ESE PlacedTotal",,,1,,,,,1
"",,Neighborhood,Belmont,,,1,,,,1
"",,,Boyette Springs,,,,,,1,1
"",,,Collins,24,223,245,3,87,353,935
"",,,Cypress Creek,,1,,,,,1
"",,,Dawson,,2,,,,,2
"",,,Lamb,,,,,,1,1
"",,,Reddick,,,1,,,,1
"",,,Ruskin,,,1,,,,1
"",,,Summerfield,,1,2,,,,3
"",,,Summerfield Crossings,,,,,,2,2
"",,,Thompson,,,,,,2,2
"",,"NeighborhoodTotal",,24,227,250,3,87,359,950
"",COLLINS PK-8 SCHOOL Total,,,24,253,272,3,95,414,"1,061"
"",CREEKSIDE CHARTER ACADEMY,Charter,Blank/Bad Addr,,1,2,,,,3
"",,,Alafia,,,,,1,,1
"",,,Belmont,6,31,40,,18,22,117
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CREEKSIDE CHARTER ACADEMY,Charter,Bryan,,1,,,,,1
"",,,Cimino,,,1,,,,1
"",,,Citrus Park,,1,,,,,1
"",,,Clair Mel,,,1,,,,1
"",,,Collins,,7,2,,,4,13
"",,,Corr,,3,5,,1,2,11
"",,,Crestwood,,,1,,1,,2
"",,,Cypress Creek,1,43,16,,6,8,74
"",,,Dawson,,1,2,,,1,4
"",,,DeSoto,,,1,,,,1
"",,,Doby,,5,5,,,4,14
"",,,Frost,,,1,,,,1
"",,,Gibsonton,,1,6,,1,1,9
"",,,Ippolito,1,,3,,,,4
"",,,Kingswood,,,1,,,,1
"",,,Lamb,,,1,,,1,2
"",,,Limona,,,,,,1,1
"",,,Mango,,1,,,,,1
"",,,Miles,,1,,,,,1
"",,,Mintz,,,1,,,,1
"",,,Pizzo,,1,,,,,1
"",,,Reddick,4,20,33,1,3,8,69
"",,,Riverview,,,,,,3,3
"",,,Robles,,2,,,,,2
"",,,Ruskin,,4,7,,2,4,17
"",,,Sessums,,7,5,,1,2,15
"",,,Sheehy,,1,,,,,1
"",,,Summerfield,,5,3,,,5,13
"",,,Summerfield Crossings,1,24,24,,4,24,77
"",,,Tampa Bay Boulevard,,,1,,,,1
"",,,Temple Terrace,,,,,1,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,CREEKSIDE CHARTER ACADEMY,Charter,Wimauma,,6,10,,1,5,22
"",,,Witter,,1,,,,,1
"",,,Woodson,,1,,,,,1
"",,Charter Total,,13,175,174,1,41,98,502
"",CREEKSIDE CHARTER ACADEMY Total,,,13,175,174,1,41,98,502
"",HENDERSON HAMMOCK CHARTER SCH,Charter,Blank/Bad Addr,1,,3,,1,1,6
"",,,Alexander,,,19,,,,19
"",,,Bay Crest,,1,9,,,2,12
"",,,Bellamy,3,3,120,,3,13,142
"",,,Bing,,,1,,,,1
"",,,Brooker,,,1,,,,1
"",,,Bryant,,,1,,,1,2
"",,,Cannella,1,6,82,1,2,10,102
"",,,Carrollwood,,,5,,,,5
"",,,Chiles,,,1,,,,1
"",,,Citrus Park,,2,11,,,1,14
"",,,Clair Mel,,,1,,,,1
"",,,Claywell,,,4,,,,4
"",,,Cleveland,,,1,,,,1
"",,,Crestwood,3,2,74,,3,2,84
"",,,Davis,,,15,,,1,16
"",,,Deer Park,,,4,,1,2,7
"",,,Dickenson,,1,16,,,,17
"",,,Dover,,,1,,,,1
"",,,Edison,,1,,,,,1
"",,,Egypt Lake,,1,13,,,1,15
"",,,Essrig,,,20,,,,20
"",,,Folsom,,,,,1,,1
"",,,Forest Hills,,,21,,,,21
"",,,Foster,,,1,,,,1
"",,,Frost,,,1,,,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HENDERSON HAMMOCK CHARTER SCH,Charter,Kenly,,,1,,,,1
"",,,Kimbell,,,1,,,,1
"",,,Lake Magdalene,,2,4,,,,6
"",,,Lowry,,1,1,,,,2
"",,,Lutz,,,1,,,,1
"",,,Maniscalco,,1,2,,,1,4
"",,,McDonald,,,1,,,,1
"",,,Mendenhall,,,8,,,,8
"",,,Miles,,1,6,,,,7
"",,,Morgan Woods,,1,37,,2,1,41
"",,,Mort,,,4,,,,4
"",,,Northwest,1,,6,,,,7
"",,,Oak Grove,1,1,22,,,,24
"",,,Robles,,,2,,,,2
"",,,Roosevelt,,1,,,,,1
"",,,Schwarzkopf,1,,,,,,1
"",,,Seffner,,1,,,,,1
"",,,Sheehy,,,1,,,,1
"",,,Sulphur Springs,,,1,,,,1
"",,,Tampa Bay Boulevard,,,5,,,1,6
"",,,Temple Terrace,,,1,,,,1
"",,,Town and Country,,,13,,1,,14
"",,,Trapnell,,,1,,,,1
"",,,Turner/Bartels,,,1,,,,1
"",,,Twin Lakes,,,21,,1,1,23
"",,,West Shore,1,,,,,,1
"",,,Westchase,,,2,,,2,4
"",,,Woodbridge,1,,38,,1,1,41
"",,,Woodson,,,8,,,1,9
"",,Charter Total,,13,26,614,1,16,42,712
"",,Neighborhood,Twin Lakes,,,1,,,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HENDERSON HAMMOCK CHARTER SCH,"NeighborhoodTotal",,,,1,,,,1
"",HENDERSON HAMMOCK CHARTER SCH Total,,,13,26,615,1,16,42,713
"",HILLSBOROUGH ACAD MATH SCIENCE,Charter,Blank/Bad Addr,2,2,3,,1,3,11
"",,,Alexander,,,3,,,,3
"",,,Bay Crest,3,7,58,,3,29,100
"",,,Bellamy,,1,30,,1,1,33
"",,,Cannella,,,7,,,2,9
"",,,Carrollwood,,,,,,1,1
"",,,Citrus Park,1,1,2,,,,4
"",,,Claywell,,,1,,,,1
"",,,Cleveland,,1,1,,,,2
"",,,Crestwood,1,1,25,,2,1,30
"",,,Davis,3,1,82,,1,4,91
"",,,Dawson,,1,,,,,1
"",,,Deer Park,,1,5,,,,6
"",,,Dickenson,,1,19,,,2,22
"",,,Egypt Lake,,1,2,,,,3
"",,,Essrig,,,5,,,1,6
"",,,Forest Hills,,1,3,,,,4
"",,,Foster,,,,,,1,1
"",,,Lamb,,,1,,,,1
"",,,Lewis,,1,,,,,1
"",,,Lopez,,,1,,,,1
"",,,Lowry,10,5,44,1,5,23,88
"",,,McKitrick,,,1,,,,1
"",,,Mendenhall,,,3,,,,3
"",,,Miles,,,1,,,,1
"",,,Morgan Woods,1,,35,,,6,42
"",,,Northwest,,,2,,,,2
"",,,Oak Grove,,,5,,,1,6
"",,,Potter,,,,,1,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HILLSBOROUGH ACAD MATH SCIENCE,Charter,Springhead,,,1,,,,1
"",,,Sulphur Springs,,,1,,,,1
"",,,Tampa Bay Boulevard,,,1,,,,1
"",,,Town and Country,,1,12,,,,13
"",,,Twin Lakes,,2,5,,1,,8
"",,,Washington,,,,,1,,1
"",,,Westchase,,,2,,,,2
"",,,Woodbridge,,1,35,,2,12,50
"",,Charter Total,,21,29,396,1,18,87,552
"",HILLSBOROUGH ACAD MATH SCIENCE Total,,,21,29,396,1,18,87,552
"",HORIZON CHARTER SCH OF TAMPA,Charter,Blank/Bad Addr,,,4,,,1,5
"",,,Alexander,,,2,,,1,3
"",,,Bay Crest,1,1,12,,3,4,21
"",,,Bellamy,,,2,1,,,3
"",,,Cannella,,,3,,,2,5
"",,,Claywell,,,,,,1,1
"",,,Cleveland,,,,,2,,2
"",,,Corr,,,2,,,,2
"",,,Crestwood,,,8,,1,1,10
"",,,Davis,,,7,,,,7
"",,,Deer Park,1,,2,,,1,4
"",,,Dickenson,15,1,17,,2,3,38
"",,,Egypt Lake,,2,6,,,,8
"",,,Essrig,,,3,,,,3
"",,,Folsom,,,,,,1,1
"",,,Forest Hills,,,5,,,,5
"",,,Foster,,,2,,,,2
"",,,Frost,,1,,,,,1
"",,,Ippolito,,,2,,,,2
"",,,Kimbell,,,,,,1,1
"",,,Lake Magdalene,,,2,,,2,4
"",,,Lopez,,,1,,,,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,HORIZON CHARTER SCH OF TAMPA,Charter,Lowry,3,,,1,,2,6
"",,,McKitrick,,,,,,1,1
"",,,Mendenhall,,,5,,,,5
"",,,Miles,,,1,,,,1
"",,,Mintz,,,2,,,,2
"",,,Morgan Woods,5,,16,,,1,22
"",,,Northwest,,,,,,2,2
"",,,Oak Grove,1,,9,,,1,11
"",,,Pizzo,,1,,,,,1
"",,,Shaw,,,2,,,,2
"",,,Tampa Bay Boulevard,,1,1,,,,2
"",,,Thonotosassa,,,,,,1,1
"",,,Town and Country,1,,11,,,2,14
"",,,Twin Lakes,,,1,,,,1
"",,,West Tampa,1,,,,1,,2
"",,,Westchase,,,1,,,,1
"",,,Woodbridge,,,7,,1,1,9
"",,Charter Total,,28,7,136,2,10,29,212
"",HORIZON CHARTER SCH OF TAMPA Total,,,28,7,136,2,10,29,212
"",INDEPENDENCE ACADEMY,Charter,Blank/Bad Addr,,,1,,,16,17
"",,,Bailey,3,4,25,,1,58,91
"",,,Bevis,,,,,,1,1
"",,,Bryan,,,14,1,1,9,25
"",,,Buckhorn,,,,,,1,1
"",,,Burney,,,2,,,5,7
"",,,Cimino,,,1,,,,1
"",,,Colson,1,8,15,,2,8,34
"",,,Cork,1,1,9,,,33,44
"",,,Corr,,,1,,,,1
"",,,Dover,,,9,1,,19,29
"",,,Folsom,,,,,,6,6
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,INDEPENDENCE ACADEMY,Charter,Gibsonton,,,,,,1,1
"",,,Ippolito,,,,,,1,1
"",,,Jackson,,,5,,1,6,12
"",,,James,,,,,,1,1
"",,,Kenly,,1,2,,,3,6
"",,,Knights,,2,,,2,21,25
"",,,Lamb,,1,,,,,1
"",,,Limona,,,6,,,3,9
"",,,Lithia Springs,,,,,,3,3
"",,,Lopez,2,3,16,,7,25,53
"",,,Mango,,1,12,,1,4,18
"",,,McDonald,,,8,1,3,12,24
"",,,Nelson,,,3,,,10,13
"",,,Pinecrest,,,,,,4,4
"",,,Reddick,,,1,,,1,2
"",,,Robinson,,,5,,,10,15
"",,,Robles,,,,,,1,1
"",,,Ruskin,,,,,,1,1
"",,,Schmidt,1,2,3,,,1,7
"",,,Seffner,3,3,10,,,25,41
"",,,Springhead,,,1,,,7,8
"",,,Summerfield Crossings,,,,,,1,1
"",,,Symmes,,,1,,,,1
"",,,Thompson,,1,,,,,1
"",,,Thonotosassa,,,4,,,3,7
"",,,Trapnell,,3,2,,,12,17
"",,,Valrico,4,2,4,,,10,20
"",,,Walden Lake,,,1,,,6,7
"",,,Wilson,1,,,,,3,4
"",,,Yates,2,1,2,,,6,11
"",,Charter Total,,18,34,163,3,19,337,574
"",INDEPENDENCE ACADEMY Total,,,18,34,163,3,19,337,574
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,KIDS COMMU COLLEGE SOUTHEAST,Charter,Blank/Bad Addr,,1,,,,,1
"",,,Belmont,,6,6,,1,,13
"",,,Boyette Springs,2,1,3,,2,2,10
"",,,Collins,5,5,3,,1,3,17
"",,,Corr,1,2,6,,,3,12
"",,,Cypress Creek,,4,,,,1,5
"",,,Dawson,6,16,21,2,2,11,58
"",,,Doby,,,4,,,1,5
"",,,Frost,,1,1,,,,2
"",,,Gibsonton,,3,,,,,3
"",,,Ippolito,,3,1,,,,4
"",,,Kenly,,,1,,,,1
"",,,Kimbell,,,,,1,,1
"",,,Kingswood,,,1,,,,1
"",,,Lamb,1,4,,,2,,7
"",,,Lithia Springs,,,,,,1,1
"",,,Mango,1,,,,,,1
"",,,McDonald,,,,,1,,1
"",,,Oak Park,,,2,,,,2
"",,,Palm River,,,2,,,,2
"",,,Pride,1,,,,,,1
"",,,Reddick,,4,2,,,,6
"",,,Riverview,2,2,1,,,4,9
"",,,Robles,,1,,,,,1
"",,,Ruskin,,,1,,,,1
"",,,Schmidt,,,1,,1,,2
"",,,Seffner,,1,1,,,1,3
"",,,Sessums,4,11,15,1,,7,38
"",,,Summerfield,3,9,7,,4,4,27
"",,,Summerfield Crossings,1,22,3,1,,4,31
"",,,Thompson,,4,1,,,1,6
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,KIDS COMMU COLLEGE SOUTHEAST,Charter Total,,27,100,83,4,15,45,274
"",KIDS COMMU COLLEGE SOUTHEAST Total,,,27,100,83,4,15,45,274
"",LEARNING GATE COMMUNITY,Charter,Blank/Bad Addr,4,2,40,,26,115,187
"",,,Alafia,,,,,,1,1
"",,,Broward,,,,,,2,2
"",,,Cannella,,,,,,1,1
"",,,Carrollwood,,,2,,,5,7
"",,,Chiles,,,2,,,11,13
"",,,Citrus Park,,,2,,,2,4
"",,,Claywell,,1,4,,,2,7
"",,,Cleveland,,,1,,,1,2
"",,,Colson,,,,,,1,1
"",,,Crestwood,,,2,,2,,4
"",,,Edison,,,1,,,,1
"",,,Essrig,,1,,,,3,4
"",,,Folsom,,,1,,,,1
"",,,Forest Hills,,,4,,1,3,8
"",,,Foster,,,4,,1,3,8
"",,,Frost,,2,,,,1,3
"",,,Hammond,,,,,1,1,2
"",,,Hunters Green,2,,,,,1,3
"",,,Kimbell,,1,,,1,,2
"",,,Kingswood,,,,,,1,1
"",,,Lake Magdalene,,,8,,1,23,32
"",,,Lewis,1,,1,,,2,4
"",,,Lutz,,,4,,4,28,36
"",,,Maniscalco,2,2,8,,3,37,52
"",,,McDonald,,,,,,1,1
"",,,McKitrick,,,,,2,6,8
"",,,Mendenhall,,,,,,2,2
"",,,Miles,,1,4,,6,4,15
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
K-8,LEARNING GATE COMMUNITY,Charter,Northwest,,,2,,,4,6
"",,,Oak Park,,,,,,3,3
