School Level,Current School,"Current Placement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"Grand Total"
"",,,Lamb,,,2,,,1,3
"",,,Limona,,,1,,,,1
"",,,Lithia Springs,,,1,,,7,8
"",,,Mintz,,,,1,1,2,4
"",,,Nelson,7,1,4,,1,11,24
"",,,Pinecrest,2,,2,,,8,12
"",,,Reddick,,,1,,,2,3
"",,,Riverview,,,1,,,1,2
"",,,Schmidt,,,,,1,,1
"",,,Seffner,1,,,,,3,4
"",,,Sessums,,,1,,1,2,4
"",,,Stowers,,,,,,1,1
"",,,Summerfield,,1,,,,,1
"",,,Summerfield Crossings,,,1,,,3,4
"",,,Symmes,,,,,1,1,2
"",,,Trapnell,,,,,,1,1
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Elem,LITHIA SPRINGS ELEMENTARY,Choice,Yates,,,2,,1,5,8
"",,Choice Total,,13,4,28,1,9,84,139
"",,Neighborhood,Boyette Springs,,1,,,,,1
"",,,Brooker,1,,,,,,1
"",,,FishHawk Creek,,,,,1,,1
"",,,Lithia Springs,31,10,58,1,42,295,437
"",,,Mitchell,,,,,1,,1
"",,,Pinecrest,,,1,,,1,2
"",,,Schwarzkopf,,,1,,,,1
"",,,Stowers,,,,,,1,1
"",,"NeighborhoodTotal",,32,11,60,1,44,297,445
"",LITHIA SPRINGS ELEMENTARY Total,,,45,15,88,2,53,381,584
"",LOCKHART ELEMENTARY MAGNET,Choice,Sheehy,,1,,,,,1
"",,Choice Total,,,1,,,,,1
"",,Magnet,Blank/Bad Addr,,1,,,,,1
"",,,Belmont,,1,,,,,1
"",,,Brooker,,1,,,,,1
"",,,Broward,,7,,,,,7
"",,,Bryan,,,,,,1,1
"",,,Clair Mel,,1,1,,,,2
"",,,Claywell,,,1,,,,1
"",,,Cleveland,,8,,,,,8
"",,,Corr,,1,,,,,1
"",,,Crestwood,,2,,,,,2
"",,,DeSoto,,3,,,,1,4
"",,,Doby,1,,,,,,1
"",,,Edison,,9,,,,3,12
"",,,Folsom,,1,,,,,1
"",,,Forest Hills,,2,,,,1,3
"",,,Foster,,11,1,,1,2,15
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Elem,LOCKHART ELEMENTARY MAGNET,Magnet,Graham,,15,,,,,15
"",,,Heritage,,2,,,,,2
"",,,Ippolito,,2,,,,1,3
"",,,Jackson,,1,,,,1,2
"",,,James,,17,,,,1,18
"",,,Kenly,,8,,,,,8
"",,,Kimbell,,,1,,,,1
"",,,Lamb,,1,,,,,1
"",,,Lewis,,2,,,1,,3
"",,,Limona,,,,,,1,1
"",,,Mango,,7,,,,,7
"",,,Miles,,1,2,,,,3
"",,,Mitchell,,,,,1,,1
"",,,Mort,,2,,,,,2
"",,,Oak Grove,,1,,,,,1
"",,,Oak Park,,22,,,,1,23
"",,,Palm River,,2,,,1,1,4
"",,,Pizzo,,4,,,,,4
"",,,Potter,,63,2,,,2,67
"",,,Reddick,,1,,,,,1
"",,,Robles,,8,4,,,,12
"",,,Ruskin,,1,,,,,1
"",,,Schmidt,,3,,,,,3
"",,,Sessums,,2,1,,,,3
"",,,Shaw,,7,,,,,7
"",,,Sheehy,,6,1,,,,7
"",,,Sulphur Springs,,11,4,,,1,16
"",,,Summerfield Crossings,,1,,,,,1
"",,,Tampa Bay Boulevard,,16,2,,1,1,20
"",,,Temple Terrace,,4,,,,,4
"",,,Thonotosassa,,2,,,,,2
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Elem,LOCKHART ELEMENTARY MAGNET,Magnet,West Shore,,2,,,,,2
"",,,Witter,,1,,,,,1
"",,,Woodson,,2,,,,,2
"",,Magnet Total,,1,282,23,,6,19,331
"",,Neighborhood,Bellamy,,1,,,,,1
"",,,Broward,,4,,,,,4
"",,,Cleveland,,1,,,,,1
"",,,Corr,,1,,,,,1
"",,,Crestwood,,,,,1,,1
"",,,Edison,,3,1,,,,4
"",,,Foster,,3,,,,,3
"",,,Frost,,3,,,,,3
"",,,Graham,,4,,,,1,5
"",,,James,,4,,,,,4
"",,,Kenly,,3,,,,,3
"",,,Kimbell,,1,,,,,1
"",,,Mango,,2,,,,,2
"",,,McDonald,,1,,,,,1
"",,,Mort,,2,,,,,2
"",,,Oak Grove,,3,,,,,3
"",,,Oak Park,,3,,,,,3
"",,,Palm River,,2,,,,,2
"",,,Pizzo,,1,,,,,1
"",,,Potter,,19,1,,,1,21
"",,,Robles,,2,,,,,2
"",,,Schmidt,,4,,,,,4
"",,,Sessums,,1,,,,,1
"",,,Tampa Bay Boulevard,,1,,,,,1
"",,,Temple Terrace,,1,,,,,1
"",,,Washington,,4,,,,,4
School Level,Current School,"CurrentPlacement",Zoned School,Asian,Black,Hispanic,Indian,Multi,White,"GrandTotal"
Elem,LOCKHART ELEMENTARY MAGNET Total,,,1,357,25,,7,21,411
"",LOMAX ELEMENTARY MAGNET,Magnet,Blank/Bad Addr,,1,1,,,,2
"",,,Anderson,,1,,,,,1
"",,,Bailey,,1,,,,,1
"",,,Bellamy,,,1,,,,1
"",,,Belmont,,3,,,,,3
"",,,Boyette Springs,,1,,,,,1
"",,,Chiles,,,,,,1,1
"",,,Clark,,2,,,,,2
"",,,Cleveland,,,1,,,,1
"",,,Collins,,,1,,,,1
"",,,Colson,,1,,,,,1
"",,,Cork,,,2,,,,2
"",,,Corr,,2,,,,,2
"",,,DeSoto,,1,,,,,1
"",,,Edison,,4,,,,,4
"",,,Folsom,3,,,,,,3
"",,,Foster,,9,1,,,,10
