zoned_school,school_level,current_school
Mulrennan,Mid,MULRENNAN MIDDLE SCHOOL
Nelson,Elem,NELSON ELEMENTARY
Newsome,High,NEWSOME HIGH SCHOOL
Northwest,Elem,NORTHWEST ELEMENTARY
Oak Grove,Elem,
Oak Park,Elem,PALM RIVER ELEMENTARY
Palm River,Elem,
Pierce,Mid,PIERCE MIDDLE SCHOOL
Pinecrest,Elem,PINECREST ELEMENTARY
Pizzo,Elem,PIZZO K-8 SCHOOL
Plant,High,
Plant City,High,
Potter,Elem,POTTER ELEMENTARY
Pride,Elem,PRIDE ELEMENTARY
Randall,Mid,RANDALL MIDDLE SCHOOL
Reddick,Elem,REDDICK ELEMENTARY
Riverview,Elem,
Riverview,High,
Robinson,Elem,
Robinson,High,
Robles,Elem,ROBLES ELEMENTARY
Rodgers,Mid,RODGERS MIDDLE MAGNET SCHOOL
Roosevelt,Elem,ROOSEVELT ELEMENTARY
Ruskin,Elem,RUSKIN ELEMENTARY
SEMINOLE HEIGHTS,Elem,
Schmidt,Elem,SCHMIDT ELEMENTARY
Schwarzkopf,Elem,SCHWARZKOPF ELEMENTARY
Seffner,Elem,SEFFNER ELEMENTARY
Seminole,Elem,
Sessums,Elem,SESSUMS ELEMENTARY
Sgt. Smith,Mid,SMITH MIDDLE SCHOOL
Shaw,Elem,SHAW ELEMENTARY
Sheehy,Elem,SHEEHY ELEMENTARY
Shields,Mid,SHIELDS MIDDLE SCHOOL
Sickles,High,SICKLES HIGH SCHOOL
Sligh,Mid,SLIGH MIDDLE SCHOOL
Smith,Mid,SMITH MIDDLE SCHOOL
Spoto,High,SPOTO HIGH SCHOOL
Springhead,Elem,SPRINGHEAD ELEMENTARY
Steinbrenner,High,STEINBRENNER HIGH SCHOOL
Stewart,Mid,STEWART MIDDLE SCHOOL
Stowers,Elem,STOWERS ELEMENTARY
Strawberry Crest,High,STRAWBERRY CREST HIGH SCHOOL
Sulphur Springs,Elem,SULPHUR SPRINGS K-8
Sulphur Springs K-8,Mid,SULPHUR SPRINGS K-8
Summerfield,Elem,
Summerfield Crossings,Elem,
Sumner,High,SUMNER HIGH SCHOOL
Symmes,Elem,SYMMES ELEMENTARY
Tampa Bay Boulevard,Elem,
Tampa Palms,Elem,
Temple Terrace,Elem,TERRACE COMMUNITY SCHOOL
Thompson,Elem,THOMPSON ELEMENTARY
Thonotosassa,Elem,THONOTOSASSA ELEMENTARY
Tinker,Elem,TINKER K-8 SCHOOL
Tinker K-8,Mid,TINKER K-8 SCHOOL
Tomlin,Mid,TOMLIN MIDDLE SCHOOL
Town and Country,Elem,TOWN AND COUNTRY ELEMENTARY
Trapnell,Elem,TRAPNELL ELEMENTARY
Turkey Creek,Mid,TURKEY CREEK MIDDLE SCHOOL
Turner/Bartels,Elem,TURNER BARTELS K-8
Turner/Bartels K-8,Mid,TURNER BARTELS K-8
Twin Lakes,Elem,
Valrico,Elem,
Walden Lake,Elem,WALDEN LAKE ELEMENTARY
Washington,Elem,WASHINGTON ELEMENTARY
Webb,Mid,WEBB MIDDLE SCHOOL
West Shore,Elem,SHORE ELEMENTARY
West Tampa,Elem,
Westchase,Elem,WESTCHASE ELEMENTARY
Wharton,High,WHARTON HIGH SCHOOL
Wilson,Elem,
Wilson,Mid,
Wimauma,Elem,WIMAUMA ELEMENTARY
Witter,Elem,WITTER ELEMENTARY
Woodbridge,Elem,WOODBRIDGE ELEMENTARY
Woodson,Elem,WOODSON K-8
Woodson K-8,Mid,WOODSON K-8
Yates,Elem,YATES ELEMENTARY
