File Name,Role,Synopsis,Location,Event / File Type,Report/File #,Date,Validation Link
10101_CROSS_CREEK_BLVD_Redacted.pdf,,DOCUMENTATION/INFORMATION ONLY INFORMATION- SCHOOL THREAT,"10101 CROSS CREEK BLVD, T 10101 CROSS CREEK BLVD, T",General Offense Report General Offense Report,GO 2023-176330 GO 2023-175997,Apr-28-2023 Apr-27-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=0&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,INFORMATION- SCHOOL THREAT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-167170,Apr-21-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=1&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,TRESPASS WARNING ONLY,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-150573,Apr-10-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=2&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,ASSIST O/J - ALL OTHER,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-132284,Mar-29-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=3&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,AUTO BURGLARY (THEFT FROM MOTOR VEHICLE),"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-110352,Mar-15-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=4&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,INFORMATION- SCHOOL THREAT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-64458,Feb-14-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=5&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BATTERY - SIMPLE,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-64021,Feb-13-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=6&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BAKER ACT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-28908,Jan-20-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=7&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,POSSESS WEAPON SCHOOL PROPERTY,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2023-28655,Jan-20-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=8&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,BATTERY ON OFFICIAL EMPLOYEE,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2022-483539,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=9&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,JUVENILE CITATION-PETIT THEFT,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2022-449327,Nov-09-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=10&page=0
10101_CROSS_CREEK_BLVD_Redacted.pdf,,DOCUMENTATION/INFORMATION ONLY,"10101 CROSS CREEK BLVD, T",General Offense Report,GO 2022-440053,Nov-02-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8014&row=11&page=0
