File Name,Role,Synopsis,Location,Event / File Type,Report/File #,Date,Validation Link
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,FELONY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-28655,Jan-20-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=0&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-28854,Jan-20-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=1&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,PERSON IN CRISIS,"10101 CROSS CREEK BLVD, T #OFC",CAD Call,CP 2023-28908,Jan-20-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=2&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-26892,Jan-19-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=3&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-26000,Jan-18-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=4&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-25415,Jan-18-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=5&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-24240,Jan-17-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=6&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-19098,Jan-13-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=7&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-17554,Jan-12-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=8&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUSY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-16026,Jan-11-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=9&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-16249,Jan-11-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=10&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-15890,Jan-11-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=11&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-14662,Jan-10-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=12&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-13239,Jan-09-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=13&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,CRIME PREVENTION ACTIVITY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2023-7458,Jan-05-2023,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=14&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,ACTIVE SHOOTER TRAINING DRILL,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-505828,Dec-23-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=15&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-505524,Dec-23-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=16&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-504243,Dec-22-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=17&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUSY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-502854,Dec-21-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=18&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-502848,Dec-21-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=19&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-501534,Dec-20-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=20&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-500142,Dec-19-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=21&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-496365,Dec-16-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=22&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-494917,Dec-15-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=23&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,PERSON IN CRISIS,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-495472,Dec-15-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=24&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-493523,Dec-14-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=25&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-492074,Dec-13-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=26&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-490915,Dec-12-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=27&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-487267,Dec-09-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=28&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-485990,Dec-08-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=29&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,INFORMATION,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-483308,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=30&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,ASSAULT/BATTERY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-483537,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=31&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,ASSAULT/BATTERY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-483539,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=32&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,SCHOOL RESOURCE OFFICER ASSIGNMENT,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-483129,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=33&page=5
10101_CROSS_CREEK_BLVD_Redacted.pdf,Police Call,BUSY,"10101 CROSS CREEK BLVD, T",CAD Call,CP 2022-483313,Dec-06-2022,https://journaliststudio.google.com/pinpoint-extract/preview?collection=3d903b1ba4a802f9&job=677b3488ac7b2287&docid=44ff1316d9023af3_3d903b1ba4a802f9&schid=8060&row=34&page=5
