district_name,school_name,district_number,school_number,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5
BREVARD,ASTRONAUT HIGH SCHOOL,05,0161,561,177,134,112,90,51,0.3155080213903743,0.23885918003565063,0.19964349376114082,0.16042780748663102,0.09090909090909091
BREVARD,ATLANTIS ELEMENTARY SCHOOL,05,0201,336,65,73,88,79,32,0.19345238095238096,0.21726190476190477,0.2619047619047619,0.23511904761904762,0.09523809523809523
BREVARD,AUDUBON ELEMENTARY SCHOOL,05,4051,235,53,47,69,44,22,0.225531914893617,0.2,0.2936170212765957,0.18723404255319148,0.09361702127659574
BREVARD,BAYSIDE HIGH SCHOOL,05,2211,943,320,212,184,151,75,0.33934252386002123,0.22481442205726404,0.1951219512195122,0.16012725344644752,0.07953340402969247
BREVARD,BREVARD VIRTUAL FRANCHISE,05,7004,163,15,29,49,42,24,0.09202453987730061,0.17791411042944785,0.3006134969325153,0.25766871165644173,0.147239263803681
BREVARD,CAMBRIDGE ELEM MAGNET SCHOOL,05,1041,266,99,76,41,38,12,0.37218045112781956,0.2857142857142857,0.15413533834586465,0.14285714285714285,0.045112781954887216
BREVARD,CAPE VIEW ELEMENTARY SCHOOL,05,5031,164,40,37,38,31,18,0.24390243902439024,0.22560975609756098,0.23170731707317074,0.18902439024390244,0.10975609756097561
BREVARD,CENTRAL MIDDLE SCHOOL,05,3021,1068,320,267,235,165,80,0.299625468164794,0.25,0.2200374531835206,0.1544943820224719,0.0749063670411985
BREVARD,CHALLENGER 7 ELEMENTARY SCHOOL,05,0191,290,60,68,76,61,27,0.20689655172413793,0.23448275862068965,0.2620689655172414,0.2103448275862069,0.09310344827586207
BREVARD,CHRISTA MCAULIFFE ELEM. SCHOOL,05,2161,330,66,79,104,57,24,0.2,0.23939393939393938,0.3151515151515151,0.17272727272727273,0.07272727272727272
BREVARD,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,05,5011,646,96,125,158,147,121,0.14860681114551083,0.19349845201238391,0.24458204334365324,0.22755417956656346,0.18730650154798761
BREVARD,COCOA HIGH SCHOOL,05,1121,935,470,203,144,94,26,0.5026737967914439,0.21711229946524063,0.15401069518716579,0.10053475935828877,0.027807486631016044
BREVARD,COLUMBIA ELEMENTARY SCHOOL,05,2131,280,87,69,56,52,16,0.3107142857142857,0.24642857142857144,0.2,0.18571428571428572,0.05714285714285714
BREVARD,COQUINA ELEMENTARY SCHOOL,05,0091,279,91,68,67,37,14,0.32616487455197135,0.24372759856630824,0.24014336917562723,0.13261648745519714,0.05017921146953405
BREVARD,CROTON ELEMENTARY SCHOOL,05,3091,248,54,56,62,53,23,0.21774193548387097,0.22580645161290322,0.25,0.21370967741935484,0.09274193548387097
BREVARD,DELAURA MIDDLE SCHOOL,05,6012,838,109,155,218,188,164,0.13007159904534607,0.18496420047732698,0.26014319809069214,0.2243436754176611,0.1957040572792363
BREVARD,DEVEREUX HOSPITAL,05,1028,49,0,0,0,0,0,0,0,0,0,0
