district_name,school_name,district_number,school_number,number_of_students_math,math_level1_num,math_level2_num,math_level3_num,math_level4_num,math_level5_num,math_level1,math_level2,math_level3,math_level4,math_level5
BROWARD,FRANKLIN ACADEMY PEMBROKE PINES,06,5012,810,96,127,233,230,127,0.11851851851851852,0.15679012345679014,0.2876543209876543,0.2839506172839506,0.15679012345679014
BROWARD,FRANKLIN ACADEMY SUNRISE,06,5010,845,171,233,251,132,58,0.20236686390532543,0.2757396449704142,0.29704142011834317,0.15621301775147928,0.06863905325443787
BROWARD,GATOR RUN ELEMENTARY SCHOOL,06,3642,671,40,50,129,194,253,0.05961251862891207,0.07451564828614009,0.19225037257824143,0.28912071535022354,0.3770491803278688
BROWARD,GLADES MIDDLE SCHOOL,06,2021,855,201,172,216,175,93,0.23508771929824562,0.20116959064327486,0.25263157894736843,0.2046783625730994,0.10877192982456141
BROWARD,GREENTREE PREPARATORY CHARTER SCHOOL,06,5130,151,19,26,47,29,30,0.12582781456953643,0.17218543046357615,0.31125827814569534,0.19205298013245034,0.1986754966887417
BROWARD,GRIFFIN ELEMENTARY SCHOOL,06,2851,319,34,32,69,86,96,0.10658307210031348,0.10031347962382445,0.21630094043887146,0.26959247648902823,0.30094043887147337
BROWARD,GULFSTREAM ACADEMY OF HALLANDALE BEACH,06,0131,817,343,175,143,105,49,0.41982864137086906,0.2141982864137087,0.17503059975520197,0.12851897184822522,0.05997552019583843
BROWARD,HARBORDALE ELEMENTARY SCHOOL,06,0491,272,25,44,75,75,52,0.09191176470588236,0.16176470588235295,0.2757352941176471,0.2757352941176471,0.19117647058823528
BROWARD,HAWKES BLUFF ELEMENTARY SCHOOL,06,3131,338,30,26,72,111,98,0.08875739644970414,0.07692307692307693,0.21301775147928995,0.32840236686390534,0.28994082840236685
BROWARD,HENRY D PERRY EDUCATION CENTER,06,6501,47,33,10,4,0,0,0.7021276595744681,0.2127659574468085,0.0851063829787234,0,0
BROWARD,HERON HEIGHTS ELEMENTARY SCHOOL,06,3961,543,23,43,110,175,188,0.0423572744014733,0.07918968692449356,0.20257826887661143,0.32228360957642727,0.34622467771639043
BROWARD,HOLLYWOOD ACAD OF ARTS & SCIEN,06,5325,557,31,51,137,190,146,0.05565529622980251,0.09156193895870736,0.2459605026929982,0.34111310592459604,0.2621184919210054
BROWARD,HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE,06,5362,301,30,46,109,85,32,0.09966777408637874,0.15282392026578073,0.36212624584717606,0.2823920265780731,0.10631229235880399
BROWARD,HOLLYWOOD CENTRAL ELEM. SCHOOL,06,0121,171,61,28,38,25,19,0.3567251461988304,0.16374269005847952,0.2222222222222222,0.14619883040935672,0.1111111111111111
BROWARD,HOLLYWOOD HILLS ELEM. SCHOOL,06,0111,352,73,66,84,82,48,0.20738636363636365,0.1875,0.23863636363636365,0.23295454545454544,0.13636363636363635
BROWARD,HOLLYWOOD PARK ELEMENTARY SCHOOL,06,1761,174,27,19,37,52,40,0.15517241379310345,0.10919540229885058,0.21264367816091953,0.2988505747126437,0.22988505747126436
BROWARD,HORIZON ELEMENTARY SCHOOL,06,2531,246,68,44,50,56,26,0.2764227642276423,0.17886178861788618,0.2032520325203252,0.22764227642276422,0.10569105691056911
BROWARD,HOSPITAL HOMEBOUND SERVICES,06,0100,16,0,0,0,0,0,0,0,0,0,0
BROWARD,IMAGINE CHARTER SCHOOL AT N LAUDERDALE ELEM,06,5171,187,89,34,41,16,7,0.47593582887700536,0.18181818181818182,0.2192513368983957,0.0855614973262032,0.0374331550802139
BROWARD,IMAGINE CHARTER SCHOOL AT WESTON,06,5111,595,59,66,151,169,148,0.09915966386554621,0.11092436974789915,0.253781512605042,0.28403361344537814,0.24873949579831933
BROWARD,IMAGINE SCHOOLS AT BROWARD,06,5024,531,93,127,164,92,56,0.1751412429378531,0.2391713747645951,0.3088512241054614,0.17325800376647835,0.10546139359698682
