school_year,school_number,stay_rate_1yr,stay_rate_inv_1yr,comp_year_1yr,stay_rate,stay_rate_1yr_check,stay_rate_3yr,stay_rate_inv_3yr,comp_year,comp_year_3yr
2018-19,1291,0.8909090909090909,0.8376068376068376,2019-20,,0.8909090909090909,0.6181818181818182,0.6476190476190476,2021-22,
2018-19,3371,0.7966101694915254,0.7899159663865546,2019-20,,0.7966101694915254,0.5338983050847458,0.63,2021-22,
2018-19,0151,0.7894736842105263,0.7964601769911505,2019-20,,0.7894736842105263,0.5614035087719298,0.64,2021-22,
2018-19,1541,0.75,0.7840909090909091,2019-20,,0.75,0.5,0.6571428571428571,2021-22,
2018-19,4161,0.8166666666666667,0.9074074074074074,2019-20,,0.8166666666666667,0.6333333333333333,0.8085106382978723,2021-22,
2018-19,3622,0.8611111111111112,0.8378378378378378,2019-20,,0.8611111111111112,0.6388888888888888,0.6052631578947368,2021-22,
2018-19,0761,0.5897435897435898,0.647887323943662,2019-20,,0.5897435897435898,0.3974358974358974,0.5,2021-22,
2018-19,0093,0.8488372093023255,0.8390804597701149,2019-20,,0.8488372093023255,0.5348837209302325,0.6216216216216216,2021-22,
2018-19,2421,0.7755102040816326,0.8351648351648352,2019-20,,0.7755102040816326,0.4897959183673469,0.5925925925925926,2021-22,
2018-19,3620,0.918918918918919,0.918918918918919,2019-20,,0.918918918918919,0.6756756756756757,0.7692307692307693,2021-22,
2018-19,0041,0.5106382978723404,0.5853658536585366,2019-20,,0.5106382978723404,0.1702127659574468,0.22857142857142856,2021-22,
2018-19,3431,0.8288288288288288,0.8070175438596491,2019-20,,0.8288288288288288,0.5405405405405406,0.6060606060606061,2021-22,
2018-19,4442,0.8043478260869565,0.8409090909090909,2019-20,,0.8043478260869565,0.5217391304347826,0.5853658536585366,2021-22,
2018-19,0261,0.71875,0.71875,2019-20,,0.71875,0.5,0.6956521739130435,2021-22,
2018-19,0082,0.8076923076923077,0.7636363636363637,2019-20,,0.8076923076923077,0.5,0.5416666666666666,2021-22,
2018-19,3561,0.6170212765957447,0.6041666666666666,2019-20,,0.6170212765957447,0.46808510638297873,0.5238095238095238,2021-22,
2018-19,4741,0.7872340425531915,0.7708333333333334,2019-20,,0.7872340425531915,0.5319148936170213,0.625,2021-22,
2018-19,2042,0.4444444444444444,0.4878048780487805,2019-20,,0.4444444444444444,0.26666666666666666,0.3076923076923077,2021-22,
2018-19,2801,0.7192982456140351,0.7592592592592593,2019-20,,0.7192982456140351,0.42105263157894735,0.5853658536585366,2021-22,
2018-19,3171,0.8852459016393442,0.84375,2019-20,,0.8852459016393442,0.6639344262295082,0.675,2021-22,
2018-19,3411,0.8888888888888888,0.8727272727272727,2019-20,,0.8888888888888888,0.6481481481481481,0.7070707070707071,2021-22,
2018-19,0131,0.7570093457943925,0.7864077669902912,2019-20,,0.7570093457943925,0.37383177570093457,0.3883495145631068,2021-22,
2018-19,4731,0.7719298245614035,0.7652173913043478,2019-20,,0.7719298245614035,0.5789473684210527,0.6947368421052632,2021-22,
2018-19,1881,0.7763157894736842,0.8194444444444444,2019-20,,0.7763157894736842,0.5921052631578947,0.6521739130434783,2021-22,
2018-19,3784,0.7931034482758621,0.8214285714285714,2019-20,,0.7931034482758621,0.46551724137931033,0.6,2021-22,
2018-19,0043,0.6477272727272727,0.6867469879518072,2019-20,,0.6477272727272727,0.20454545454545456,0.29508196721311475,2021-22,
2018-19,0089,0.9150943396226415,0.9150943396226415,2019-20,,0.9150943396226415,0.660377358490566,0.7070707070707071,2021-22,
2018-19,4221,0.8979591836734694,0.8301886792452831,2019-20,,0.8979591836734694,0.7551020408163265,0.7254901960784313,2021-22,
2018-19,3004,0.5660377358490566,0.5555555555555556,2019-20,,0.5660377358490566,0.33962264150943394,0.3829787234042553,2021-22,
2018-19,2871,0.75,0.6923076923076923,2019-20,,0.75,0.6388888888888888,0.6571428571428571,2021-22,
2018-19,4151,0.822429906542056,0.8543689320388349,2019-20,,0.822429906542056,0.6822429906542056,0.7684210526315789,2021-22,
2018-19,0141,0.85,0.8292682926829268,2019-20,,0.85,0.75,0.75,2021-22,
2018-19,1761,0.6296296296296297,0.5666666666666667,2019-20,,0.6296296296296297,0.37037037037037035,0.47619047619047616,2021-22,
2018-19,1051,0.8214285714285714,0.8679245283018868,2019-20,,0.8214285714285714,0.6071428571428571,0.6181818181818182,2021-22,
2018-19,0441,0.8333333333333334,0.78125,2019-20,,0.8333333333333334,0.43333333333333335,0.5652173913043478,2021-22,
2018-19,0401,0.7796610169491526,0.7931034482758621,2019-20,,0.7796610169491526,0.559322033898305,0.717391304347826,2021-22,
2018-19,2841,0.75,0.8125,2019-20,,0.75,0.5769230769230769,0.5769230769230769,2021-22,
2018-19,2651,0.6944444444444444,0.6756756756756757,2019-20,,0.6944444444444444,0.4722222222222222,0.53125,2021-22,
2018-19,0069,0.6521739130434783,0.7009345794392523,2019-20,,0.6521739130434783,0.5217391304347826,0.6896551724137931,2021-22,
2018-19,2471,0.7424242424242424,0.7424242424242424,2019-20,,0.7424242424242424,0.5606060606060606,0.6379310344827587,2021-22,
2018-19,0100,0.8431372549019608,0.7818181818181819,2019-20,,0.8431372549019608,0.6666666666666666,0.6296296296296297,2021-22,
2018-19,1721,0.8611111111111112,0.8378378378378378,2019-20,,0.8611111111111112,0.5833333333333334,0.6363636363636364,2021-22,
2018-19,3922,0.7301587301587301,0.7931034482758621,2019-20,,0.7301587301587301,0.5714285714285714,0.6206896551724138,2021-22,
