File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,Pd Zone:,Pd Grid:,Validation Link
10402 N 56th.pdf,11:50,2022038001,FP-Foot Patrol,10402 N 56th St.,ន,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=22&page=0
10402 N 56th.pdf,07:13,2022038146,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=23&page=0
10402 N 56th.pdf,06:52,2022038345,RA-Risk Assessment,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=24&page=0
10402 N 56th.pdf,11:53,2022038380,S16-Highway Obstruct,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=25&page=0
10402 N 56th.pdf,10:24,2022038526,FP-Foot Patrol,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=26&page=0
10402 N 56th.pdf,07:14,2022038613,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=27&page=0
10402 N 56th.pdf,20:23,2022038710,DP-Directed Patrol,10402 N 56th St.,ន,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=28&page=0
10402 N 56th.pdf,09:40 07:11,2022038965 2022039051,DP-Directed Patrol STER-Traffic Enforce,10402 N 56th St. 10402 N 56th St.,ន ន,221 221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=29&page=0
10402 N 56th.pdf,07:16,2022039175,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=30&page=0
10402 N 56th.pdf,07:25,2022039300,STER-Traffic Enforce,10402 N 56th St.,ន Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=31&page=0
